"Subgroup","Median","CI_Lower","CI_Upper","CI_width"
"x_1: a",0.727777413453808,0.468083181526033,0.9972081086866,0.529124927160567
"x_1: b",0.884873032329992,0.656477583268846,1.30884599687825,0.652368413609403
"x_2: a",0.827937632661727,0.630055209028909,1.10207394234272,0.472018733313811
"x_2: b",0.803441878054459,0.613272377206946,1.05735539297882,0.444083015771869
"x_3: a",0.793428796938335,0.528503403145063,1.11859479281719,0.590091389672128
"x_3: b",0.817721171165082,0.640803085044322,1.06512264438289,0.424319559338573
"x_4: a",0.849415877548688,0.643757949011606,1.2301958424127,0.586437893401091
"x_4: b",0.797119779518768,0.58845669971378,1.08682202712377,0.498365327409987
"x_4: c",0.780533901171895,0.54176778474924,1.06061193747571,0.518844152726465
"x_5: a",0.76897602606723,0.412688324405323,1.05451131246217,0.641822988056849
"x_5: b",0.828972562562351,0.605912219193369,1.24629782804421,0.640385608850842
"x_5: c",0.854456255801319,0.640114323115257,1.25928814644401,0.619173823328755
"x_5: d",0.799439797007051,0.581870893018752,1.04927450606592,0.467403613047165
"x_6: a",0.831102150533459,0.634644542089664,1.16304162421636,0.528397082126692
"x_6: b",0.803725271167976,0.61614421956952,1.05089022104565,0.434746001476131
"x_7: a",0.809627595741095,0.624124985889762,1.07368009806082,0.449555112171057
"x_7: b",0.810926386403103,0.631073060493953,1.0787183604843,0.447645299990345
"x_8: a",0.825354962682516,0.609878086001455,1.15000411068548,0.540126024684024
"x_8: b",0.822303645597552,0.625289051514309,1.13447982393515,0.509190772420837
"x_8: c",0.79883902979856,0.609665291939817,1.0508435441117,0.441178252171882
"x_9: a",0.809659100941943,0.575295599937602,1.17076266898094,0.595467069043335
"x_9: b",0.812346069595492,0.628205381808822,1.06238810670513,0.434182724896307
"x_10: a",0.790922831362982,0.533575577687562,1.08539048046127,0.55181490277371
"x_10: b",0.793639637584823,0.569293883547236,1.07758237457837,0.508288491031129
"x_10: c",0.84255296639921,0.634100386654757,1.1789043255446,0.544803938889839
